,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",1660765,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
56,Straightenin,Migos,1643094,https://open.spotify.com/track/15EH2glphTjcarRjAsc0EB
57,"Painting Pictures","Polo G",1574647,https://open.spotify.com/track/25uBGaikHi0DhMiGMfuXYE
58,BED,"Joel Corry",1557225,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
59,"GANG GANG (with Lil Wayne)","Polo G",1550223,https://open.spotify.com/track/0ezwvY7TkCwDEkKR49084k
60,"Malibu (feat. Polo G)",Migos,1541227,https://open.spotify.com/track/3v1zVVdzNVNt7vmI9VG2gq
61,Bandido,"Myke Towers",1540341,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
62,Arcade,"Duncan Laurence",1538159,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
63,"Don't Start Now","Dua Lipa",1533681,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
64,"Goosebumps - Remix","Travis Scott",1525629,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
65,Alcohol-Free,TWICE,1502822,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj
66,"Hold On","Justin Bieber",1480300,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
67,"Head & Heart (feat. MNEK)","Joel Corry",1464964,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
68,512,Mora,1461068,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
69,"Wants and Needs (feat. Lil Baby)",Drake,1439489,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
70,"Someone You Loved","Lewis Capaldi",1415950,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
71,Toxic,"Polo G",1414001,https://open.spotify.com/track/3h3NKhcfHkr6GvEpC3FRI5
72,Up,"Cardi B",1404564,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
73,"hope ur ok","Olivia Rodrigo",1379503,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
74,"Thot Shit","Megan Thee Stallion",1367902,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
75,"LA NOCHE DE ANOCHE","Bad Bunny",1365257,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
76,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1361585,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
77,"Sal y Perrea",Sech,1352825,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
78,911,Sech,1350633,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
79,Lost,"Maroon 5",1350132,https://open.spotify.com/track/18XlJEroUwFo0tLZxscgXE
80,"Clueless (with Pop Smoke & Fivio Foreign)","Polo G",1349991,https://open.spotify.com/track/4CPcZHzSvIBM8AKhdHUwnL
81,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,1304814,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
82,Streets,"Doja Cat",1297494,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
83,"Modern Day",Migos,1280310,https://open.spotify.com/track/2Igem6Q4sfvXGJ3JkG7Baw
84,"WITHOUT YOU","The Kid LAROI",1278177,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
85,Run,OneRepublic,1267324,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
86,"Dance Monkey","Tones And I",1265640,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
87,"We're Good","Dua Lipa",1264286,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
88,"Antisocial (feat. Juice WRLD)",Migos,1263481,https://open.spotify.com/track/3lakLxKgelrvKBTyGwDXhX
89,"Light It Up (feat. Pop Smoke)",Migos,1257376,https://open.spotify.com/track/5rIjbX7rQMj8Gh9Oxd4Vrc
90,Poblado,Crissin,1252964,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
91,"Type Shit (feat. Cardi B)",Migos,1243104,https://open.spotify.com/track/4N4wemxs9Em6nJ5kXTjEsS
92,"Sweater Weather","The Neighbourhood",1235719,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
93,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",Bizarrap,1221804,https://open.spotify.com/track/1VauUM5CBX7nkLcgafQL2B
94,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1214890,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
95,positions,"Ariana Grande",1208970,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
96,Runaway,AURORA,1207796,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
97,"Talking to the Moon","Bruno Mars",1197003,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
98,"Late At Night","Roddy Ricch",1196683,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
99,"Best Friend (feat. Doja Cat)",Saweetie,1194781,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
100,"Ram Pam Pam","Natti Natasha",1189913,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
101,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1185023,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
102,Boom,"Polo G",1180169,https://open.spotify.com/track/6vQnpXl0KvwTfLpIhoOLHc
103,Levitating,"Dua Lipa",1174658,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
104,"Your Power","Billie Eilish",1174288,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
105,"Party Lyfe (with DaBaby)","Polo G",1172131,https://open.spotify.com/track/38Z8SRBxln5pP7yWLqRYwC
106,"Roses - Imanbek Remix","SAINt JHN",1166170,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
107,"Picasso (feat. Future)",Migos,1165494,https://open.spotify.com/track/2kPlWEOm2tQlaZRE01IbBQ
108,"Petrouchka (feat. PLK)","Soso Maness",1159668,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
109,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1150843,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
110,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1135253,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
111,Bipolar,"Mc Davi",1133190,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
112,Birthday,Migos,1127430,https://open.spotify.com/track/7tt5I7ztXfKzZRqyL2FCYb
113,"Cover Me In Sunshine",P!nk,1126585,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
114,Freaks,"Surf Curse",1125724,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
115,Vaccine,Migos,1112155,https://open.spotify.com/track/5Qs6gTnyrG0KGYbuCzoK5k
116,"Iko Iko (My Bestie)","Justin Wellington",1109936,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
117,Epidemic,"Polo G",1097369,https://open.spotify.com/track/1SjBcdzWbs79UTCrH4qXJf
118,Circles,"Post Malone",1087837,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
119,"Hecha Pa' Mi",Boza,1082642,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
120,Memories,"Maroon 5",1080728,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
121,"Calling My Phone","Lil Tjay",1073022,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
122,"Dick (feat. Doja Cat)",StarBoi3,1069047,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
123,"Paradise (feat. Dermot Kennedy)",MEDUZA,1065871,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
124,"Heart of a Giant (with Rod Wave)","Polo G",1061704,https://open.spotify.com/track/6Q7Tv7ZxmoOokvuPchcaO1
125,"Broken Guitars (with Scorey)","Polo G",1055330,https://open.spotify.com/track/4QSehYD2iCp1L3l4B3QNv0
126,"Wasted Love (feat. Lagique)",Ofenbach,1051808,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
127,Jane,Migos,1049354,https://open.spotify.com/track/7g43YzKWtb1NMRcwD896ww
128,"By Your Side (feat. Tom Grennan)","Calvin Harris",1048194,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
129,34+35,"Ariana Grande",1044284,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
130,"Before You Go","Lewis Capaldi",1038588,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
